日期,close
2023-11-16,1.0
2023-11-17,0.9999
2023-11-24,1.0
2023-12-01,1.0003
2023-12-08,1.0003
2023-12-15,1.0005
2023-12-22,1.0008
2023-12-29,1.0015
2023-12-31,1.0016
2024-01-05,1.0018
2024-01-09,1.0019
2024-01-10,1.0019
2024-01-11,1.002
2024-01-12,1.0021
2024-01-15,1.0026
2024-01-16,1.0027
2024-01-17,1.0029
2024-01-18,1.0036
2024-01-19,1.0037
2024-01-22,1.0039
2024-01-23,1.004
2024-01-24,1.004
2024-01-25,1.006
2024-01-26,1.0069
2024-01-29,1.007
2024-01-30,1.0073
2024-01-31,1.0074
2024-02-01,1.0075
2024-02-02,1.0076
2024-02-05,1.008
2024-02-06,1.0079
2024-02-07,1.008
2024-02-08,1.0084
2024-02-19,1.0089
2024-02-20,1.0091
2024-02-21,1.0092
2024-02-22,1.0095
2024-02-23,1.0098
2024-02-26,1.0097
2024-02-27,1.0098
2024-02-28,1.0098
2024-02-29,1.0099
2024-03-01,1.0097
2024-03-04,1.0099
2024-03-05,1.0095
2024-03-06,1.0095
2024-03-07,1.0095
2024-03-08,1.0095
2024-03-11,1.0093
2024-03-12,1.0089
2024-03-13,1.0089
2024-03-14,1.0089
2024-03-15,1.009
2024-03-18,1.0093
2024-03-19,1.0095
2024-03-20,1.0096
2024-03-21,1.0098
2024-03-22,1.0099
2024-03-25,1.0098
2024-03-26,1.0098
2024-03-27,1.0105
2024-03-28,1.0106
2024-03-29,1.0108
2024-03-31,1.0109
2024-04-01,1.0109
2024-04-02,1.0111
2024-04-03,1.0114
2024-04-08,1.0111
2024-04-09,1.0112
2024-04-10,1.0114
2024-04-11,1.0116
2024-04-12,1.0126
2024-04-15,1.0129
2024-04-16,1.0128
2024-04-17,1.0134
2024-04-18,1.0139
2024-04-19,1.0146
2024-04-22,1.0148
2024-04-23,1.0151
2024-04-24,1.0152
2024-04-25,1.0149
2024-04-26,1.0152
2024-04-29,1.0144
2024-04-30,1.0151
2024-05-06,1.016
2024-05-07,1.0167
2024-05-08,1.0167
2024-05-09,1.0168
2024-05-10,1.0168
2024-05-13,1.017
2024-05-14,1.0177
2024-05-15,1.0178
2024-05-16,1.018
2024-05-17,1.0186
2024-05-20,1.0193
2024-05-21,1.0187
2024-05-22,1.0185
2024-05-23,1.0181
2024-05-24,1.0177
2024-05-27,1.0189
2024-05-28,1.0185
2024-05-29,1.0189
2024-05-30,1.0192
2024-05-31,1.019
2024-06-03,1.0195
2024-06-04,1.0201
2024-06-05,1.0198
2024-06-06,1.0205
2024-06-07,1.0203
2024-06-11,1.0198
2024-06-12,1.0199
2024-06-13,1.0199
2024-06-14,1.021
2024-06-17,1.0209
2024-06-18,1.0214
2024-06-19,1.0219
