日期,close
2019-04-12,0.1481
2019-04-19,0.15
2019-04-26,0.1456
2019-04-30,0.1528
2019-05-06,0.1142
2019-05-07,0.1262
2019-05-08,0.1262
2019-05-09,0.1091
2019-05-10,0.1332
2019-05-13,0.137
2019-05-14,0.1321
2019-05-15,0.1595
2019-05-16,0.1665
2019-05-17,0.1513
2019-05-20,0.1391
2019-05-21,0.1448
2019-05-22,0.1399
2019-05-23,0.1231
2019-05-24,0.1292
2019-05-27,0.1323
2019-05-28,0.1362
2019-05-29,0.1384
2019-05-30,0.1355
2019-05-31,0.1291
2019-06-03,0.1251
2019-06-04,0.113
2019-06-05,0.1128
2019-06-06,0.1074
2019-06-10,0.116
2019-06-11,0.1402
2019-06-12,0.1348
2019-06-13,0.1329
2019-06-14,0.1275
2019-06-17,0.1244
2019-06-18,0.1244
2019-06-19,0.1317
2019-06-20,0.1525
2019-06-21,0.1563
2019-06-24,0.1649
2019-06-25,0.1648
2019-06-26,0.1631
2019-06-27,0.181
2019-06-28,0.1828
2019-06-30,0.1826
2019-07-01,0.2069
2019-07-02,0.2103
2019-07-03,0.1993
2019-07-04,0.1887
2019-07-05,0.2026
2019-07-08,0.1927
2019-07-09,0.1964
2019-07-10,0.1978
2019-07-11,0.1919
2019-07-12,0.1989
2019-07-15,0.1942
2019-07-16,0.1884
2019-07-17,0.1856
2019-07-18,0.1781
2019-07-19,0.182
2019-07-22,0.182
2019-07-23,0.173
2019-07-24,0.1732
2019-07-25,0.1783
2019-07-26,0.1784
2019-07-29,0.1834
2019-07-30,0.1811
2019-07-31,0.1728
2019-08-01,0.1657
2019-08-02,0.1617
2019-08-05,0.1509
2019-08-06,0.1561
2019-08-07,0.152
2019-08-08,0.1617
2019-08-09,0.1548
2019-08-12,0.1681
2019-08-13,0.167
2019-08-14,0.1789
2019-08-15,0.1771
2019-08-16,0.1854
2019-08-19,0.1925
2019-08-20,0.1987
2019-08-21,0.194
2019-08-22,0.2045
2019-08-23,0.2051
2019-08-26,0.195
2019-08-27,0.2057
2019-08-28,0.2074
2019-08-29,0.2122
2019-08-30,0.2223
2019-09-02,0.2247
2019-09-03,0.2206
2019-09-04,0.2136
2019-09-05,0.2159
2019-09-06,0.2166
2019-09-09,0.2171
2019-09-10,0.2152
2019-09-11,0.1927
2019-09-12,0.2019
2019-09-16,0.1995
2019-09-17,0.1989
2019-09-18,0.2176
2019-09-19,0.219
2019-09-20,0.223
2019-09-23,0.2163
2019-09-24,0.2271
2019-09-25,0.2252
2019-09-26,0.2184
2019-09-27,0.2162
2019-09-30,0.2088
2019-10-08,0.2158
2019-10-09,0.2108
2019-10-10,0.2104
2019-10-11,0.2122
2019-10-14,0.2125
2019-10-15,0.2208
2019-10-16,0.2118
2019-10-17,0.2121
2019-10-18,0.2022
2019-10-21,0.2037
2019-10-22,0.2054
2019-10-23,0.1959
2019-10-24,0.1873
2019-10-25,0.1965
2019-10-28,0.2083
2019-10-29,0.2124
2019-10-30,0.2085
2019-10-31,0.2085
2019-11-01,0.2164
2019-11-04,0.2213
2019-11-05,0.2235
2019-11-06,0.219
2019-11-07,0.2234
2019-11-08,0.2264
2019-11-11,0.2207
2019-11-12,0.2241
2019-11-13,0.2309
2019-11-14,0.2367
2019-11-15,0.2349
2019-11-18,0.2368
2019-11-19,0.242
2019-11-20,0.2432
2019-11-21,0.2418
2019-11-22,0.2269
2019-11-25,0.2252
2019-11-26,0.2303
2019-11-27,0.2316
2019-11-28,0.2303
2019-11-29,0.2166
2019-12-02,0.2156
2019-12-03,0.2142
2019-12-04,0.2172
2019-12-05,0.2177
2019-12-06,0.2295
2019-12-09,0.2262
2019-12-10,0.226
2019-12-11,0.221
2019-12-12,0.2189
2019-12-13,0.2293
2019-12-16,0.2247
2019-12-17,0.2291
2019-12-18,0.2315
2019-12-19,0.227
2019-12-20,0.2252
2019-12-23,0.2196
2019-12-24,0.2231
2019-12-25,0.2165
