日期,close
2022-04-28,0.9932
2022-04-29,0.9932
2022-05-06,0.9935
2022-05-13,0.9942
2022-05-17,0.9945
2022-05-18,0.9946
2022-05-19,0.9949
2022-05-20,0.995
2022-05-23,0.9956
2022-05-24,0.9964
2022-05-25,0.997
2022-05-26,0.9999
2022-05-27,1.0002
2022-05-30,0.9992
2022-05-31,0.9976
2022-06-01,0.997
2022-06-02,0.9965
2022-06-06,0.9964
2022-06-07,0.9971
2022-06-08,0.9973
2022-06-09,0.9982
2022-06-10,0.9988
2022-06-13,0.998
2022-06-14,0.9981
2022-06-15,0.9986
2022-06-16,0.9988
2022-06-17,0.9998
2022-06-20,0.9992
2022-06-21,0.9995
2022-06-22,0.9992
2022-06-23,0.9998
2022-06-24,0.999
2022-06-27,0.9979
2022-06-28,0.997
2022-06-29,0.9981
2022-06-30,1.0001
2022-07-01,1.0001
2022-07-04,0.9994
2022-07-05,0.9992
2022-07-06,0.9993
2022-07-07,0.9995
2022-07-08,0.9997
2022-07-11,1.0009
2022-07-12,1.0021
2022-07-13,1.0024
2022-07-14,1.0026
2022-07-15,1.0026
2022-07-18,1.0033
2022-07-19,1.0037
2022-07-20,1.0052
2022-07-21,1.0054
2022-07-22,1.0047
2022-07-25,1.0057
2022-07-26,1.0072
2022-07-27,1.0074
2022-07-28,1.007
2022-07-29,1.0093
2022-08-01,1.0105
2022-08-02,1.0112
2022-08-03,1.0114
2022-08-04,1.012
2022-08-05,1.0127
2022-08-08,1.0122
2022-08-09,1.0122
2022-08-10,1.012
2022-08-11,1.0133
2022-08-12,1.0141
2022-08-15,1.017
2022-08-16,1.0177
2022-08-17,1.0187
2022-08-18,1.0183
2022-08-19,1.0189
2022-08-22,1.0194
2022-08-23,1.0183
2022-08-24,1.0169
2022-08-25,1.0183
2022-08-26,1.0178
2022-08-29,1.0171
2022-08-30,1.0174
2022-08-31,1.0186
2022-09-01,1.0183
2022-09-02,1.0174
2022-09-05,1.0177
2022-09-06,1.0189
2022-09-07,1.018
2022-09-08,1.0175
2022-09-09,1.0199
2022-09-13,1.0209
2022-09-14,1.0191
2022-09-15,1.0192
2022-09-16,1.0152
2022-09-19,1.0149
2022-09-20,1.0145
2022-09-21,1.0135
2022-09-22,1.0126
2022-09-23,1.0122
2022-09-26,1.0101
2022-09-27,1.011
2022-09-28,1.0089
2022-09-29,1.0083
2022-09-30,1.0083
2022-10-10,1.0072
2022-10-11,1.0071
2022-10-12,1.0081
2022-10-13,1.0065
2022-10-14,1.0095
2022-10-17,1.01
2022-10-18,1.0099
2022-10-19,1.0074
2022-10-20,1.0064
2022-10-21,1.0062
2022-10-24,1.0016
2022-10-25,1.0009
2022-10-26,1.0017
2022-10-27,1.0025
2022-10-28,0.9995
2022-10-31,0.9981
2022-11-01,1.0036
2022-11-02,1.0048
2022-11-03,1.0029
2022-11-04,1.0081
2022-11-07,1.0096
2022-11-08,1.0086
2022-11-09,1.0077
2022-11-10,1.0065
2022-11-11,1.0128
2022-11-14,1.0115
2022-11-15,1.0129
2022-11-16,1.0096
2022-11-17,1.0079
2022-11-18,1.0065
2022-11-21,1.0057
2022-11-22,1.0061
2022-11-23,1.0071
2022-11-24,1.0079
2022-11-25,1.0092
2022-11-28,1.0069
2022-11-29,1.0091
2022-11-30,1.0075
2022-12-01,1.0082
2022-12-02,1.0071
2022-12-05,1.0092
2022-12-06,1.0081
2022-12-07,1.0053
2022-12-08,1.0048
2022-12-09,1.0054
2022-12-12,1.0036
2022-12-13,1.0003
2022-12-14,1.0008
2022-12-15,1.0003
2022-12-16,1.0006
2022-12-19,1.0
2022-12-20,0.9991
2022-12-21,0.9989
2022-12-22,0.9988
2022-12-23,0.9991
2022-12-26,1.0006
2022-12-27,1.0019
2022-12-28,1.0022
2022-12-29,1.0028
2022-12-30,1.0037
2022-12-31,1.0037
2023-01-03,1.0056
2023-01-04,1.0069
2023-01-05,1.0086
2023-01-06,1.0094
2023-01-09,1.0099
2023-01-10,1.0091
2023-01-11,1.0087
2023-01-12,1.0085
2023-01-13,1.0093
2023-01-16,1.0099
2023-01-17,1.0098
2023-01-18,1.0098
2023-01-19,1.0105
2023-01-20,1.012
2023-01-30,1.0133
2023-01-31,1.0135
2023-02-01,1.0143
2023-02-02,1.0141
2023-02-03,1.0137
2023-02-06,1.0129
2023-02-07,1.0134
2023-02-08,1.0136
2023-02-09,1.0149
2023-02-10,1.0139
2023-02-13,1.0148
2023-02-14,1.0154
2023-02-15,1.0148
2023-02-16,1.0142
2023-02-17,1.0143
2023-02-20,1.0161
2023-02-21,1.0174
2023-02-22,1.0163
2023-02-23,1.0167
2023-02-24,1.0155
2023-02-27,1.0154
2023-02-28,1.0159
2023-03-01,1.017
2023-03-02,1.0167
2023-03-03,1.0171
2023-03-06,1.0168
2023-03-07,1.0153
2023-03-08,1.0146
2023-03-09,1.0139
2023-03-10,1.0118
2023-03-13,1.0126
2023-03-14,1.0119
2023-03-15,1.0116
2023-03-16,1.0096
2023-03-17,1.0106
2023-03-20,1.0102
2023-03-21,1.0117
2023-03-22,1.0125
2023-03-23,1.0134
2023-03-24,1.0123
2023-03-27,1.0118
2023-03-28,1.0113
2023-03-29,1.0115
2023-03-30,1.0147
2023-03-31,1.0142
2023-04-03,1.0149
2023-04-04,1.0142
2023-04-06,1.014
2023-04-07,1.0155
2023-04-10,1.0155
2023-04-11,1.0156
2023-04-12,1.0151
2023-04-13,1.0149
2023-04-14,1.0164
2023-04-17,1.0207
2023-04-18,1.0235
2023-04-19,1.0209
2023-04-20,1.0185
2023-04-21,1.0156
2023-04-24,1.011
2023-04-25,1.0093
2023-04-26,1.0111
2023-04-27,1.0125
2023-04-28,1.0137
2023-05-04,1.0135
2023-05-05,1.0125
2023-05-08,1.0148
2023-05-09,1.0136
2023-05-10,1.0146
2023-05-11,1.0147
2023-05-12,1.0122
2023-05-15,1.016
2023-05-16,1.0156
2023-05-17,1.0145
2023-05-18,1.0131
2023-05-19,1.0129
2023-05-22,1.0147
2023-05-23,1.0137
2023-05-24,1.0125
2023-05-25,1.0117
2023-05-26,1.011
2023-05-29,1.0085
2023-05-30,1.0078
2023-05-31,1.0052
2023-06-01,1.0053
2023-06-02,1.0101
2023-06-05,1.0091
2023-06-06,1.0087
2023-06-07,1.008
2023-06-08,1.0097
2023-06-09,1.0103
2023-06-12,1.0124
2023-06-13,1.0125
2023-06-14,1.0126
2023-06-15,1.0167
2023-06-16,1.017
2023-06-19,1.0149
2023-06-20,1.0138
2023-06-21,1.0115
2023-06-26,1.0108
2023-06-27,1.013
2023-06-28,1.0129
2023-06-29,1.0119
2023-06-30,1.013
2023-07-03,1.0149
2023-07-04,1.0147
2023-07-05,1.0145
2023-07-06,1.0134
2023-07-07,1.0132
2023-07-10,1.0147
2023-07-11,1.0156
2023-07-12,1.016
2023-07-13,1.0176
2023-07-14,1.0168
2023-07-17,1.0162
2023-07-18,1.0171
2023-07-19,1.0174
2023-07-20,1.0181
2023-07-21,1.0192
2023-07-24,1.0192
2023-07-25,1.0192
2023-07-26,1.0203
2023-07-27,1.0203
2023-07-28,1.0219
2023-07-31,1.0229
2023-08-01,1.0226
2023-08-02,1.0223
2023-08-03,1.0236
2023-08-04,1.0234
2023-08-07,1.0232
2023-08-08,1.0231
